opponent_name,champ_tahmkench
karma,50.85
nautilus,47.37
thresh,52.69
blitzcrank,45.74
lulu,51.29
leona,48.64
lux,50.26
yuumi,50.85
xerath,51.14
pyke,47.98
senna,47.98
renata glasc,53.40
alistar,46.02
morgana,51.26
soraka,48.65
rakan,51.11
zilean,51.39
maokai,47.14
nami,49.75
zyra,50.27
brand,46.01
shaco,43.51
janna,54.10
pantheon,51.33
rell,41.07
swain,55.45
braum,57.29
seraphine,57.89
bard,46.07
sona,43.82
sett,56.32
vel'koz,47.83
veigar,52.94
galio,56.72
neeko,40.00
