opponent_name,champ_varus
ezreal,48.90
jinx,47.30
jhin,45.82
kai'sa,49.65
zeri,47.34
caitlyn,48.70
samira,45.65
lucian,49.53
vayne,43.50
aphelios,50.23
miss fortune,46.98
xayah,47.20
ashe,52.98
tristana,50.36
twitch,43.03
sivir,47.18
draven,51.33
kalista,42.35
ziggs,53.73
