opponent_name,champ_missfortune
ezreal,51.07
jinx,50.45
jhin,47.79
kai'sa,50.69
zeri,47.50
caitlyn,52.45
samira,49.67
vayne,47.60
lucian,51.15
aphelios,55.10
xayah,54.77
tristana,51.15
ashe,48.48
twitch,49.73
sivir,49.73
draven,57.64
varus,53.02
ziggs,47.06
kalista,47.24
kog'maw,46.43
cassiopeia,46.40
