opponent_name,champ_neeko
lux,50.13
karma,52.50
blitzcrank,49.53
yuumi,56.48
nautilus,52.36
thresh,54.04
lulu,52.85
leona,53.72
xerath,47.97
pyke,55.10
renata glasc,54.33
morgana,52.20
senna,50.71
alistar,54.39
soraka,47.92
nami,48.55
zyra,53.44
rakan,60.00
zilean,49.18
brand,50.41
maokai,42.37
shaco,51.85
seraphine,52.17
swain,41.98
janna,47.30
sona,63.01
vel'koz,43.28
bard,43.94
pantheon,50.77
tahm kench,60.00
