opponent_name,champ_anivia
karma,54.40
lux,53.92
lulu,52.69
thresh,55.12
blitzcrank,46.98
nautilus,42.78
yuumi,49.42
leona,53.85
xerath,47.64
morgana,50.00
pyke,48.66
senna,48.00
renata glasc,56.29
alistar,54.68
soraka,52.38
nami,55.43
zilean,54.44
zyra,46.05
maokai,40.79
rakan,44.29
brand,36.92
shaco,41.67
