opponent_name,champ_gragas
blitzcrank,43.65
leona,44.56
karma,47.71
nautilus,43.75
thresh,46.90
lux,46.10
yuumi,47.74
lulu,48.50
alistar,45.08
pyke,45.91
xerath,50.23
senna,47.10
renata glasc,50.83
morgana,52.17
rell,54.22
rakan,46.34
soraka,37.97
maokai,47.69
zyra,32.81
nami,45.90
zilean,55.00
shaco,46.43
pantheon,47.06
