opponent_name,champ_ashe
ezreal,51.13
jinx,50.62
jhin,50.08
kai'sa,50.22
zeri,47.59
caitlyn,52.39
samira,47.42
vayne,48.64
lucian,51.70
aphelios,58.33
miss fortune,51.52
xayah,51.13
tristana,43.30
twitch,47.58
sivir,47.34
kalista,52.38
varus,47.02
draven,47.27
ziggs,47.09
kog'maw,57.41
cassiopeia,42.03
