opponent_name,champ_samira
ezreal,52.20
jinx,49.46
jhin,51.93
kai'sa,54.72
zeri,47.73
vayne,50.12
caitlyn,53.24
lucian,51.86
aphelios,55.87
xayah,49.99
miss fortune,50.33
tristana,52.62
twitch,50.52
ashe,52.58
sivir,49.39
draven,52.79
kalista,50.61
ziggs,48.90
varus,54.35
kog'maw,47.52
cassiopeia,46.81
