opponent_name,champ_galio
blitzcrank,47.62
nautilus,44.94
leona,47.61
karma,48.58
lux,45.96
thresh,47.99
yuumi,51.22
lulu,44.77
xerath,46.99
alistar,44.70
pyke,44.82
morgana,46.86
senna,41.10
renata glasc,42.86
soraka,42.57
zyra,47.75
zilean,46.41
rakan,43.14
maokai,47.30
nami,47.69
pantheon,53.49
brand,50.00
shaco,50.00
janna,46.24
swain,52.81
vel'koz,35.71
tahm kench,43.28
seraphine,59.38
sett,54.69
sona,50.79
rell,50.00
veigar,52.63
bard,51.92
braum,47.06
