opponent_name,champ_draven
ezreal,48.33
jinx,48.85
jhin,50.23
zeri,47.95
kai'sa,48.47
caitlyn,52.65
samira,47.21
lucian,48.93
vayne,48.12
aphelios,53.59
miss fortune,42.36
xayah,48.20
tristana,50.27
twitch,47.27
ashe,52.73
sivir,51.34
varus,48.67
kalista,52.29
ziggs,59.41
kog'maw,51.67
