opponent_name,champ_qiyana
lee sin,50.73
graves,49.39
hecarim,45.83
diana,46.15
viego,51.15
master yi,41.54
kayn,53.08
xin zhao,45.00
nidalee,47.83
shaco,52.21
kindred,50.89
ekko,47.83
rek'sai,56.32
jarvan iv,53.49
kha'zix,53.25
zac,61.04
poppy,41.33
elise,47.95
zed,53.73
vi,36.92
nocturne,45.31
nunu & willump,46.77
talon,47.06
