opponent_name,champ_twitch
jinx,51.27
ezreal,52.11
jhin,50.55
zeri,50.66
kai'sa,50.15
samira,49.48
caitlyn,54.19
vayne,53.47
lucian,51.02
aphelios,55.07
miss fortune,50.27
tristana,51.63
xayah,51.76
ashe,52.42
sivir,56.16
draven,52.73
varus,56.97
kalista,47.14
ziggs,53.43
kog'maw,48.80
cassiopeia,40.00
