opponent_name,champ_kalista
ezreal,52.84
jinx,48.28
jhin,48.37
kai'sa,52.88
zeri,45.05
samira,49.39
caitlyn,52.73
vayne,47.84
lucian,48.62
aphelios,56.13
xayah,48.13
ashe,47.62
miss fortune,52.76
tristana,47.12
twitch,52.86
sivir,44.72
draven,47.71
varus,57.65
ziggs,48.28
kog'maw,44.00
