opponent_name,champ_shen
blitzcrank,47.74
nautilus,43.19
leona,50.74
karma,47.99
yuumi,52.42
thresh,47.17
lux,46.59
lulu,47.01
pyke,48.91
xerath,48.12
alistar,45.88
senna,45.21
morgana,47.77
renata glasc,50.32
soraka,52.73
nami,50.55
zyra,48.84
zilean,48.78
brand,58.02
maokai,51.95
rakan,56.34
pantheon,49.21
seraphine,46.30
swain,49.06
shaco,60.38
janna,46.15
