opponent_name,champ_cassiopeia
jinx,53.80
ezreal,50.98
jhin,52.35
zeri,49.27
kai'sa,56.37
samira,53.19
caitlyn,62.14
vayne,55.45
lucian,54.46
aphelios,61.90
xayah,50.30
miss fortune,53.60
tristana,52.69
ashe,57.97
twitch,60.00
