opponent_name,champ_sivir
ezreal,52.98
jinx,52.46
jhin,49.95
kai'sa,52.06
caitlyn,56.91
zeri,49.23
samira,50.61
vayne,49.69
lucian,50.78
miss fortune,50.27
aphelios,53.22
xayah,52.27
ashe,52.66
tristana,52.94
twitch,43.84
draven,48.66
ziggs,57.69
varus,52.82
kalista,55.28
