opponent_name,champ_zac
blitzcrank,48.58
lux,51.13
nautilus,52.60
karma,52.25
yuumi,50.78
thresh,52.26
lulu,51.29
leona,45.71
xerath,51.09
alistar,50.33
pyke,55.32
morgana,51.62
senna,50.92
renata glasc,47.56
soraka,51.35
rakan,51.47
zilean,47.62
zyra,41.80
janna,34.71
nami,48.21
brand,52.25
maokai,45.05
swain,53.93
pantheon,57.89
shaco,43.48
seraphine,44.62
sona,64.41
vel'koz,53.57
bard,56.86
rell,54.00
