opponent_name,champ_vayne
ezreal,52.87
jinx,50.75
jhin,52.08
kai'sa,52.49
samira,49.88
zeri,49.39
caitlyn,52.93
lucian,49.98
aphelios,54.59
miss fortune,52.40
xayah,50.42
tristana,49.88
twitch,46.53
ashe,51.36
sivir,50.31
draven,51.88
kalista,52.16
varus,56.50
ziggs,50.87
kog'maw,47.97
cassiopeia,44.55
