opponent_name,champ_caitlyn
ezreal,47.92
jinx,47.26
jhin,45.90
kai'sa,46.73
zeri,47.99
samira,46.76
vayne,47.07
lucian,48.76
aphelios,53.15
miss fortune,47.55
xayah,48.51
tristana,45.28
ashe,47.61
twitch,45.81
sivir,43.09
draven,47.35
varus,51.30
ziggs,42.93
kalista,47.27
kog'maw,47.37
cassiopeia,37.86
