opponent_name,champ_sett
blitzcrank,47.85
nautilus,44.16
thresh,48.08
leona,44.50
karma,46.06
lux,46.72
lulu,48.20
yuumi,50.20
alistar,50.54
xerath,43.65
pyke,40.52
senna,39.35
morgana,53.51
renata glasc,38.58
soraka,48.39
maokai,42.86
zilean,47.01
zyra,45.69
brand,37.72
rakan,48.21
nami,45.54
pantheon,47.47
rell,39.13
tahm kench,43.68
janna,32.91
shaco,51.95
vel'koz,58.21
swain,50.00
galio,45.31
seraphine,51.56
sona,32.14
bard,36.36
veigar,43.40
