opponent_name,champ_tristana
ezreal,51.89
jinx,49.59
jhin,52.44
zeri,48.44
kai'sa,50.80
caitlyn,54.72
samira,47.38
vayne,50.12
lucian,53.27
aphelios,51.69
miss fortune,48.85
xayah,50.58
twitch,48.37
ashe,56.70
sivir,47.06
draven,49.73
varus,49.64
kalista,52.88
ziggs,45.49
kog'maw,51.66
cassiopeia,47.31
