opponent_name,champ_aphelios
jinx,45.13
ezreal,46.33
jhin,44.71
kai'sa,47.70
zeri,43.15
samira,44.13
caitlyn,46.85
vayne,45.41
lucian,46.19
xayah,44.56
miss fortune,44.90
tristana,48.31
ashe,41.67
twitch,44.93
draven,46.41
sivir,46.78
ziggs,39.44
varus,49.77
kalista,43.87
kog'maw,45.45
cassiopeia,38.10
