opponent_name,champ_veigar
lux,48.48
blitzcrank,44.84
karma,47.18
nautilus,47.10
lulu,49.92
yuumi,50.63
thresh,50.00
leona,46.85
morgana,44.42
xerath,49.32
pyke,49.15
senna,50.99
alistar,50.35
renata glasc,50.00
soraka,44.34
nami,42.60
zyra,48.21
zilean,42.50
maokai,41.27
rakan,50.44
brand,42.34
shaco,47.47
pantheon,49.48
seraphine,57.32
swain,50.68
vel'koz,30.99
sona,56.52
tahm kench,47.06
janna,50.00
bard,45.45
rell,46.97
galio,47.37
braum,52.73
sett,56.60
