opponent_name,champ_pantheon
jayce,57.75
aatrox,49.63
irelia,50.63
akali,52.29
tryndamere,47.78
yone,48.76
fiora,47.96
darius,53.71
sett,52.60
teemo,51.52
renekton,53.50
camille,55.63
gangplank,49.21
garen,45.24
graves,58.20
malphite,51.67
vayne,62.07
jax,50.94
riven,33.98
gnar,43.53
gwen,59.04
gragas,53.16
shen,50.65
nasus,47.83
illaoi,52.31
kennen,53.97
sylas,50.82
sion,47.37
rumble,61.11
yasuo,44.23
quinn,54.00
poppy,50.00
ryze,54.00
