opponent_name,champ_amumu
blitzcrank,48.75
karma,52.02
yuumi,55.46
lulu,53.01
lux,52.46
xerath,48.44
nautilus,47.11
thresh,52.46
leona,47.21
pyke,50.62
morgana,50.00
alistar,47.95
senna,49.01
renata glasc,48.07
soraka,47.69
zyra,56.12
brand,45.56
zilean,58.43
rakan,56.96
maokai,47.44
nami,52.70
shaco,46.97
seraphine,52.54
swain,58.62
janna,53.45
pantheon,45.28
