opponent_name,champ_kaisa
ezreal,52.09
jinx,49.08
jhin,51.12
zeri,46.54
samira,45.28
vayne,47.51
caitlyn,53.27
lucian,50.67
aphelios,52.30
xayah,47.92
miss fortune,49.31
tristana,49.20
twitch,49.85
ashe,49.78
sivir,47.94
draven,51.53
varus,50.35
kalista,47.12
ziggs,48.18
kog'maw,49.92
cassiopeia,43.63
