opponent_name,champ_jhin
ezreal,51.50
jinx,51.00
kai'sa,48.88
caitlyn,54.10
zeri,48.98
samira,48.07
lucian,51.72
vayne,47.92
aphelios,55.28
miss fortune,52.21
tristana,47.56
xayah,52.22
ashe,49.92
twitch,49.45
sivir,50.05
draven,49.77
varus,54.18
ziggs,49.92
kalista,51.63
kog'maw,51.05
cassiopeia,47.65
