opponent_name,champ_jinx
ezreal,50.01
jhin,49.00
kai'sa,50.92
zeri,49.25
caitlyn,52.73
samira,50.54
aphelios,54.85
vayne,49.25
lucian,49.95
xayah,50.72
miss fortune,49.55
tristana,50.41
twitch,48.73
ashe,49.38
sivir,47.54
draven,51.15
varus,52.70
ziggs,48.45
kalista,51.72
kog'maw,51.36
cassiopeia,46.20
