opponent_name,champ_xayah
ezreal,49.40
jinx,49.27
jhin,47.78
kai'sa,52.08
samira,50.01
zeri,47.64
caitlyn,51.49
lucian,50.18
vayne,49.58
aphelios,55.44
miss fortune,45.23
tristana,49.42
twitch,48.24
ashe,48.87
draven,51.80
sivir,47.73
varus,52.80
kalista,51.88
ziggs,48.35
cassiopeia,49.70
kog'maw,52.15
