opponent_name,champ_ziggs
ezreal,51.75
jhin,50.08
jinx,51.55
kai'sa,51.82
zeri,49.45
samira,51.10
caitlyn,57.07
vayne,49.13
lucian,56.45
aphelios,60.56
miss fortune,52.94
xayah,51.65
tristana,54.51
ashe,52.91
twitch,46.57
sivir,42.31
draven,40.59
varus,46.27
kalista,51.72
