opponent_name,champ_kogmaw
jinx,48.64
ezreal,51.68
jhin,48.95
zeri,49.32
kai'sa,50.08
samira,52.48
caitlyn,52.63
vayne,52.03
lucian,50.85
aphelios,54.55
miss fortune,53.57
xayah,47.85
tristana,48.34
twitch,51.20
ashe,42.59
draven,48.33
kalista,56.00
