opponent_name,champ_singed
ahri,49.83
yasuo,54.64
zed,55.93
leblanc,60.12
vex,59.38
yone,64.15
viktor,55.91
sylas,51.22
akali,60.34
ryze,57.39
katarina,59.63
talon,56.07
veigar,47.25
irelia,61.11
twisted fate,56.45
xerath,55.77
lissandra,46.00
