opponent_name,champ_lucian
ezreal,49.25
jinx,50.05
jhin,48.28
kai'sa,49.33
zeri,48.32
samira,48.14
caitlyn,51.24
vayne,50.02
aphelios,53.81
miss fortune,48.85
xayah,49.82
tristana,46.73
twitch,48.98
ashe,48.30
draven,51.07
sivir,49.22
varus,50.47
kalista,51.38
ziggs,43.55
kog'maw,49.15
cassiopeia,45.54
