opponent_name,champ_chogath
ahri,53.50
zed,49.40
yasuo,52.15
sylas,51.21
vex,52.23
yone,53.06
leblanc,50.00
viktor,51.57
akali,48.74
katarina,54.45
ryze,58.86
veigar,47.71
talon,54.55
irelia,60.47
lissandra,60.19
twisted fate,56.84
corki,48.75
anivia,47.44
ekko,56.76
zoe,54.17
fizz,51.43
vladimir,49.28
akshan,51.47
xerath,51.47
orianna,51.56
cassiopeia,42.86
syndra,58.33
lux,51.67
azir,64.91
zeri,42.86
malzahar,54.90
kassadin,50.00
