opponent_name,champ_rengar
lee sin,47.67
hecarim,45.54
graves,42.35
diana,47.63
viego,52.04
master yi,47.45
kayn,45.62
xin zhao,47.20
nidalee,48.56
shaco,41.08
ekko,51.46
kha'zix,40.35
kindred,43.87
nocturne,38.57
jarvan iv,51.69
zac,41.59
poppy,40.37
elise,43.40
zed,49.02
rek'sai,36.63
nunu & willump,44.32
warwick,35.23
vi,40.23
talon,44.12
evelynn,53.85
rammus,44.83
trundle,57.14
fiddlesticks,43.40
