opponent_name,champ_zeri
jinx,50.75
ezreal,52.34
jhin,51.02
kai'sa,53.46
samira,52.27
caitlyn,52.01
vayne,50.61
lucian,51.66
aphelios,56.85
tristana,51.56
twitch,49.34
xayah,52.36
miss fortune,52.50
ashe,52.41
draven,52.05
sivir,50.77
kalista,54.95
varus,52.66
ziggs,50.55
kog'maw,50.68
cassiopeia,50.73
