opponent_name,champ_sejuani
tryndamere,57.63
jayce,50.96
darius,54.92
irelia,55.00
akali,57.79
fiora,53.76
yone,53.51
renekton,60.11
aatrox,51.11
garen,56.07
sett,49.66
teemo,57.58
riven,50.39
malphite,56.59
jax,56.67
gangplank,54.17
graves,53.45
gnar,60.53
camille,54.08
vayne,44.79
gragas,50.55
sylas,55.68
nasus,60.00
gwen,54.67
shen,47.89
kennen,50.00
trundle,45.31
mordekaiser,45.90
illaoi,50.85
ornn,32.14
sion,52.73
kled,49.09
volibear,53.70
poppy,50.00
