opponent_name,champ_gragas
lee sin,51.78
hecarim,49.47
graves,47.78
diana,47.62
viego,48.85
master yi,53.44
xin zhao,51.64
kayn,49.36
kindred,50.66
ekko,51.35
shaco,42.29
nidalee,50.00
zac,51.89
nocturne,48.85
jarvan iv,52.78
poppy,39.16
rek'sai,45.71
elise,45.74
kha'zix,45.30
nunu & willump,47.66
vi,54.08
rammus,55.17
warwick,46.51
zed,43.21
fiddlesticks,43.66
talon,48.44
trundle,40.63
amumu,47.06
