opponent_name,champ_ezreal
jinx,49.99
jhin,48.50
kai'sa,47.91
samira,47.80
zeri,47.65
caitlyn,52.08
vayne,47.13
lucian,50.75
aphelios,53.67
miss fortune,48.93
xayah,50.60
tristana,48.11
ashe,48.87
twitch,47.87
sivir,47.02
draven,51.67
kalista,47.16
varus,51.10
ziggs,48.25
kog'maw,48.32
cassiopeia,49.02
